Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Nhà riêng	Nha Trang Homestay Vy House - 6 phòng ngủ	12 khách · 6 Phòng ngủ · 4 phòng tắm	3,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Biệt Thự	Trương Hải An Viên Villa Nhatrang	12 khách · 4 Phòng ngủ · 4 phòng tắm	6,000,000₫/đêm 10,000,000₫	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Victory Luxury An Viên Villa	20 khách · 6 Phòng ngủ · 7 phòng tắm	9,000,000₫/đêm 15,000,000₫	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	PLB - Room 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	476,648₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Sea Town Apartment - Căn Hộ 2 Phòng Ngủ	4 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	❤️❤️Căn hộ 2PN TẦNG CAO VIEW BIỂN & TOÀN CẢNH NHA TRANG	5 khách · 2 Phòng ngủ · 2 phòng tắm	629,300₫/đêm 899,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Deluxe Apartment with SEAVIEW BALCONY - 502	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Deluxe Apartment with SEAVIEW BALCONY - 602	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	NHA TRANG APARTMENT	5 khách · 2 Phòng ngủ · 2 phòng tắm	991,428₫/đêm 1,239,285₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Yellow House - Chung cư Chợ Đầm	5 khách · 2 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Deluxe Twin Room	4 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm 750,000₫	Nha Trang, Khánh Hòa, Vietnam	
Khác	Superior Double Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	360,000₫/đêm 450,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	2 Bedrooms Retro Style Apartment - Căn hộ ngay mặt biển Hòn Chồng	4 khách · 2 Phòng ngủ · 2 phòng tắm	525,000₫/đêm 750,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Open-Air & Beachfront 2 Bedrooms Apartment	4 khách · 2 Phòng ngủ · 2 phòng tắm	623,000₫/đêm 890,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Deluxe Family Apartment - 100	3 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	SUPERIOR Apartment - 101	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	SUPERIOR Apartment - 203	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	SUPERIOR Apartment - 403	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Freelife Home & Apartment - 301 (Balcony)	2 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Wild Sea Apartment in Nha Trang - 2430	4 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Wild Sea Apartment in Nha Trang - WS2	4 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	V3 Hostel - Phòng đôi tầng 1 - 105	4 khách · 1 Phòng ngủ · 1 phòng tắm	330,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	PLB - Room 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	476,648₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Fairy Bay 3* Standard twin	2 khách · 1 Phòng ngủ · 1 phòng tắm	726,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Standard Apartment with CITY VIEW BALCONY - 401	3 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Home 1 bedroom with city view	4 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Standard Apartment with CITY VIEW BALCONY - 402	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Deluxe Apartment with SEAVIEW BALCONY - 501	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Deluxe Apartment with SEAVIEW BALCONY - 601	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Deluxe Apartment with SEAVIEW BALCONY - 701	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Deluxe Apartment with SEAVIEW BALCONY - 702	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	SENS HOUSE✨PANORAMIC View✨Deluxe Double Room❤️AIRPORT PICKUP	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,250,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ View Biển Nha Trang 3526	4 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	CH 2PN VIEW BIỂN+NÚI CÔ TIÊN-CHỈ 1 PHÚT RA BIỂN	5 khách · 2 Phòng ngủ · 2 phòng tắm	553,000₫/đêm 790,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Hoàng Kim Apartment*Deluxe 2BDRS Balcony View	4 khách · 2 Phòng ngủ · 1 phòng tắm	850,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	QQ's Apartment Seaview	4 khách · 2 Phòng ngủ · 2 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	CAFUNE - Double room 500m to the beach - FREE COFFEE (2)	3 khách · 1 Phòng ngủ · 1 phòng tắm	315,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	La Sea Apartments & Tours Nha Trang	2 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Ny House Homestay	15 khách · 4 Phòng ngủ · 3 phòng tắm	2,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio · Condotel Panorama Nha Trang	The Buckingham Panorama Nha Trang	3 khách · 1 Phòng ngủ · 1 phòng tắm	850,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Homes Vu STANDARD ROOM 202	2 khách · 1 Phòng ngủ · 1 phòng tắm	470,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ chung cư	Holi Bayview Nha Trang Two-Bedroom Apartment	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Eagle's - Standard Double bed City view 2	3 khách · 1 Phòng ngủ · 1 phòng tắm	299,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	2	
Nhà riêng	LaVa Villa	18 khách · 6 Phòng ngủ · 8 phòng tắm	3,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Sunny's homestay	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	Central Holiday Apartment (3 bedrooms)	8 khách · 3 Phòng ngủ · 1 phòng tắm	1,700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Seaside Apartment 17 ( 2 Phòng ngủ )	8 khách · 2 Phòng ngủ · 2 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	2	
Nhà riêng	P Homestay - 4 Mini Studio	20 khách · 4 Phòng ngủ · 4 phòng tắm	3,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	Ta'or Homestay with seaview	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,250,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	Home 1 bedroom with seaview	3 khách · 1 Phòng ngủ · 1 phòng tắm	850,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	Ta'or Homestay (2 bedrooms)	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,250,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	S69 NhaTrang - 2 Bedroom - Moutain View	4 khách · 2 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Nhà riêng	Homestay Nha Trang Space & Time - 6 phòng ngủ	12 khách · 6 Phòng ngủ · 4 phòng tắm	1,900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Romance Studio with Balcony Seaview	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	PHUONG'S BEACH APARTMENT 3	4 khách · 1 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	LINKNEST - Sea View Apartment in Ariyana Close to the Beach	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Eagle's Nest & Beach Nha Trang	24 khách · 6 Phòng ngủ · 6 phòng tắm	2,700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Marilyn- Floor 1	20 khách · 6 Phòng ngủ · 6 phòng tắm	4,650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Marilyn- Floor 3	19 khách · 6 Phòng ngủ · 6 phòng tắm	4,550,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Marilyn- Floor 4	20 khách · 6 Phòng ngủ · 6 phòng tắm	4,750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio · Condotel Panorama Nha Trang	J-Decor Sea View Panorama Nha Trang	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	22/6 Annie Homestay Nha Trang	12 khách · 4 Phòng ngủ · 5 phòng tắm	2,436,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Ccasa Hostel & Coffee Bar	4 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaside Apartment - Căn hộ cao cấp sát cạnh bãi biển - 12A76	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Ana House - Standard Double	2 khách · 1 Phòng ngủ · 1 phòng tắm	350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ cao cấp 4* Mường Thanh Viễn Triều , Nha Trang	7 khách · 3 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Eighteen House - Deluxe King studio with balcony sea view	2 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Căn hộ view biển Nha Trang - Sự lựa chọn hàng đầu cho bạn.	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	DHP LUXURY VIP Mountain View 02	2 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	La Casa Hotel - Deluxe City View	2 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaside Apartment - Căn hộ cao cấp sát cạnh bãi biển - 2222	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Marilyn- Seaview Studio	3 khách · 1 Phòng ngủ · 1 phòng tắm	830,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Marilyn- Double Deluxe	3 khách · 1 Phòng ngủ · 1 phòng tắm	770,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Marilyn- Triple Deluxe	4 khách · 1 Phòng ngủ · 1 phòng tắm	990,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Cosy Apartment w Balcony & Garden@Near the Beach	4 khách · 1 Phòng ngủ · 1 phòng tắm	500,480₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	ViVa Villa An Viên Nha Trang	12 khách · 4 Phòng ngủ · 4 phòng tắm	4,785,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Garden Village - Phòng Đơn	2 khách · 1 Phòng ngủ · 1 phòng tắm	300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaview Apartment Deluxe 22 ( 2 Phòng ngủ )	8 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Biệt Thự	Biệt Thự Ta'or	10 khách · 4 Phòng ngủ · 5 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Two bedroom apartment with sea view	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - SUPERIOR APARTMENT	3 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	MTVT - View chính biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Mường Thanh Trần Phú - 2130	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	An Minh Condotel 1	6 khách · 2 Phòng ngủ · 2 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaview Apartment Deluxe 2B-27 ( 2 Phòng ngủ )	8 khách · 2 Phòng ngủ · 2 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Goodmorning Nha Trang Room #02	6 khách · 1 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	THOA CHINH Mường Thanh Viễn Triều Apartment 31.04 Nha Trang	6 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaside Apartment 30 ( 2 Phòng ngủ )	8 khách · 2 Phòng ngủ · 2 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Ana House - Standard Double Bed	2 khách · 1 Phòng ngủ · 1 phòng tắm	368,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Ana House - Group Saving	4 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaside Apartment 10 ( 2 Phòng ngủ )	8 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Standard Apartment 8 ( 2 phòng ngủ )	8 khách · 2 Phòng ngủ · 2 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	V3 Hostel - Phòng đôi tầng 1 - p 101	4 khách · 1 Phòng ngủ · 1 phòng tắm	330,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Tee Dee - Green Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	420,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Tee Dee - White Room with attic N1.N2	6 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Ta'or Homestay (Seaview)	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,250,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	VENITY VILLA Breeze	8 khách · 4 Phòng ngủ · 4 phòng tắm	18,480,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Eighteen House - Deluxe King Studio	2 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Hoàng Long Apartment - 102	6 khách · 2 Phòng ngủ · 1 phòng tắm	825,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Cherry Apartments - Mường Thanh Luxury 3136	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	THOA CHINH Mường Thanh Viễn Triều Apartment 9.06 Nha Trang	6 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Klaus Resort 4 Star - River View 2 Bedrooms Balcony Suite	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,380,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Merci Home - Gold Room 402	3 khách · 1 Phòng ngủ · 1 phòng tắm	480,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	V3 Hostel - Phòng đôi tầng 2 - Seaview.3	4 khách · 1 Phòng ngủ · 1 phòng tắm	430,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Hoàng Long Apartment - 302	6 khách · 2 Phòng ngủ · 1 phòng tắm	825,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Coral House2 - Room 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	430,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Papaya Homestay Nha Trang - Standard Double Bed	2 khách · 1 Phòng ngủ · 1 phòng tắm	270,000₫/đêm 300,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Coral House 2 - Room 5	4 khách · 1 Phòng ngủ · 1 phòng tắm	470,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Coral House 2 - Room 2	4 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
